Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
14-02-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,31.9,129,319
20-02-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,32.5,111,303
22-02-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,30.5,139,369
26-02-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,31.5,108,306
28-02-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,29.6,119,287
3/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,35.8,153,337
3/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,34.8,83,229
3/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.8,37.1,73,190
3/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,37.6,67,216
14-03-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,36,69,182
20-03-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,35.5,123,327
22-03-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,33.7,107,302
26-03-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,38.7,152,316
28-03-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,6,42.5,126,262
4/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,36.8,135,347
4/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,30.4,123,311
4/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,33.6,84,278
4/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,6.3,42.7,90,238
14-04-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.8,37.5,93,293
16-04-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,32.3,104,273
20-04-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,33.7,85,234
26-04-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,33.5,76,205
28-04-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,33.2,78,243
5/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.1,28,60,217
5/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,38.9,74,249
5/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.7,19.8,107,275
5/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,33.4,92,313
14-05-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.1,25.3,115,319
16-05-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,13.2,81.1,99,267
20-05-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.9,30.1,115,272
22-05-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,33.8,112,292
26-05-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.6,29.9,75,286
6/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.9,76.9,121,330
6/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,32.4,60,203
6/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,36.1,64,217
14-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.1,40.7,49,151
16-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,39.2,115,230
20-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,32,36,185
22-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,29.6,55,162
26-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,31.6,33,119
28-06-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,33.7,73,202
7/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,35.6,89,311
7/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,34.8,94,261
7/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,32.5,67,199
7/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,30.8,49,191
14-07-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,32.7,58,208
16-07-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,26,58,270
20-07-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,32,55,158
26-07-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,28.5,62,175
28-07-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,26.8,55,175
8/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,37.1,48,157
8/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,45.4,61,172
8/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,30.5,48,145
14-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,29.9,75,222
16-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,27.4,80,202
20-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,27.9,79,213
22-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,26.3,54,134
26-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,26,64,188
28-08-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,27.9,89,221
9/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.1,31.8,58,157
9/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,32.7,63,176
9/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,30,52,153
9/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,29.3,95,265
14-09-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,33.5,61,152
20-09-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,30.4,78,161
22-09-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,28.4,53,139
26-09-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,32.2,118,309
28-09-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,30.2,90,232
10/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,32.2,86,219
10/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5,27.2,108,309
10/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,30.8,111,306
10/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,30.2,121,319
16-10-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.6,27.6,108,319
20-10-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.4,27.8,122,329
22-10-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,32.3,94,243
26-10-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,31.5,85,247
28-10-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,31.7,118,296
11/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,4.7,33.5,98,281
11/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,29.1,97,290
14-11-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,33.2,128,344
16-11-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,32.7,120,325
20-11-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,32.3,87,265
22-11-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,34.9,105,302
24-11-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,35.5,131,309
